column	class	n_unique	n_missing	keyword_hit	snra_role_guess
image_name	character	100	0	block	block_candidate
cell_x	numeric	263244	0	coordinate	coordinate_candidate
cell_y	numeric	262295	0	coordinate	coordinate_candidate
cell_cluster_phenograph	integer	71	0	phenotype	phenotype_candidate
cell_metacluster	integer	27	0	phenotype	phenotype_candidate
image_number	integer	100	0	block	block_candidate
cells_per_image	integer	99	0	block	block_candidate
image_width	integer	76	0	block	block_candidate
image_height	integer	79	0	block	block_candidate
image_area	integer	100	0	block	block_candidate
image_filename	character	100	0	block	block_candidate
image_sum_area_cells	integer	100	0	block	block_candidate
image_percent_tumor_cells	integer	11	95259	block;image_composition	image_composition_covariate
image_percent_normal_epithelial_cells	integer	3	95259	block;image_composition	image_composition_covariate
image_percent_stroma	integer	10	95259	block;image_composition	image_composition_covariate
image_percent_inflammatory_cells	integer	10	95259	block;image_composition	image_composition_covariate
patient_id	integer	100	0	block;clinical	block_candidate
patient_age	integer	45	0	block;clinical	block_candidate
patient_gender	character	1	0	block;clinical	block_candidate
patient_status	character	4	0	block;clinical	block_candidate
patient_disease_status	character	1	0	block;clinical	block_candidate
patient_DFS_months	integer	73	0	block;clinical	block_candidate
patient_OS_months	integer	73	0	block;clinical	block_candidate
patient_year_sample_collection	integer	15	0	block;clinical	block_candidate
TMA_x	integer	16	0	coordinate	coordinate_candidate
TMA_y	integer	9	0	coordinate	coordinate_candidate
tumor_grade	character	3	0	clinical	clinical_covariate_not_domain
tumor_type	character	1	285851	clinical	clinical_covariate_not_domain
tumor_subtype	character	5	0	clinical	clinical_covariate_not_domain
tumor_clinical_type	character	5	0	clinical	clinical_covariate_not_domain
tumor_location	character	1	285851	clinical	clinical_covariate_not_domain
tumor_size	integer	39	0	clinical	clinical_covariate_not_domain
tumor_primary_site	character	1	0	clinical	clinical_covariate_not_domain
tumor_primary_diagnosis	character	1	0	clinical	clinical_covariate_not_domain
tumor_ER_status	character	2	0	clinical	clinical_covariate_not_domain
tumor_HER2_status	character	2	0	clinical	clinical_covariate_not_domain
tumor_HR_status	character	3	0	clinical	clinical_covariate_not_domain
tumor_PR_status	character	3	0	clinical	clinical_covariate_not_domain
tumor_ERpos_ductal_ca	integer	2	108487	clinical	clinical_covariate_not_domain
tumor_triple_neg_ductal	integer	2	0	clinical	clinical_covariate_not_domain
tumor_hormone_sensitive	integer	2	184149	clinical	clinical_covariate_not_domain
tumor_hormone_resistant_after_sensitive	integer	2	266082	clinical	clinical_covariate_not_domain
tumor_I_plus_neg	character	2	0	clinical	clinical_covariate_not_domain
tumor_PTNM_M	character	2	0	clinical	clinical_covariate_not_domain
tumor_PTNM_N	character	12	0	clinical	clinical_covariate_not_domain
tumor_PTNM_T	character	8	0	clinical	clinical_covariate_not_domain
tumor_PTNM_radicality	integer	3	1848	clinical	clinical_covariate_not_domain
tumor_microinvasion	logical	2	0	clinical	clinical_covariate_not_domain
tumor_lymphatic_invation	integer	3	83546	clinical	clinical_covariate_not_domain
tumor_venous_invasion	integer	3	112604	clinical	clinical_covariate_not_domain
tumor_SN	character	3	0	clinical	clinical_covariate_not_domain
tumor_histology	character	19	0	clinical	clinical_covariate_not_domain
tumor_pre_surgery_Tx_type	character	1	0	clinical	clinical_covariate_not_domain
tumor_post_surgery_Tx_type	character	14	0	clinical	clinical_covariate_not_domain
tumor_post_surgery_Tx	integer	2	248628	clinical	clinical_covariate_not_domain
tumor_response	character	4	0	clinical	clinical_covariate_not_domain
patient_cohort	character	1	0	block;clinical	block_candidate
