roi	n_objects	has_region_mask	n_region_labels_at_centroids	region_labels_at_centroids	cell_labels
TCGA-A1-A0SP-DX1_left-10911_top-54005_bottom-55224_right-12129	32	True	1	Cancerous_epithelium	CancerEpithelium
TCGA-A1-A0SP-DX1_left-11187_top-54012_bottom-55231_right-12406	25	True	2	Cancerous_epithelium;Stroma	CancerEpithelium;TILsCell
TCGA-A1-A0SP-DX1_left-7582_top-55032_bottom-56251_right-8801	39	True	2	Cancerous_epithelium;Stroma	CancerEpithelium;StromalCellNOS;TILsCell;UnknownOrAmbiguousCell
TCGA-A1-A0SP-DX1_left-7590_top-56559_bottom-57778_right-8809	41	True	2	Stroma;TILs_region	StromalCellNOS;TILsCell;UnknownOrAmbiguousCell
TCGA-A1-A0SP-DX1_left-7591_top-55530_bottom-56749_right-8810	29	True	2	Cancerous_epithelium;Stroma	CancerEpithelium;StromalCellNOS;TILsCell;UnknownOrAmbiguousCell
TCGA-A1-A0SP-DX1_left-7853_top-56559_bottom-57778_right-9072	37	True	1	Stroma	ActiveTILsCell;CancerEpithelium;StromalCellNOS;TILsCell
TCGA-A1-A0SP-DX1_left-8114_top-53749_bottom-54968_right-9333	52	True	3	Cancerous_epithelium;Stroma;TILs_region	ActiveTILsCell;CancerEpithelium;TILsCell;UnknownOrAmbiguousCell
TCGA-A1-A0SP-DX1_left-8364_top-55533_bottom-56752_right-9582	34	True	2	Cancerous_epithelium;Stroma	ActiveTILsCell;CancerEpithelium;StromalCellNOS;TILsCell
TCGA-A1-A0SP-DX1_left-8365_top-54248_bottom-55467_right-9584	16	True	1	Cancerous_epithelium	CancerEpithelium
TCGA-A1-A0SP-DX1_left-8617_top-56559_bottom-57778_right-9836	33	True	2	Cancerous_epithelium;Stroma	CancerEpithelium;StromalCellNOS;TILsCell;UnknownOrAmbiguousCell
TCGA-A1-A0SP-DX1_left-8622_top-54234_bottom-55453_right-9841	28	True	1	Cancerous_epithelium	CancerEpithelium
TCGA-A1-A0SP-DX1_left-8623_top-55315_bottom-56533_right-9842	24	True	1	Cancerous_epithelium	CancerEpithelium;UnknownOrAmbiguousCell
TCGA-A1-A0SP-DX1_left-8883_top-55260_bottom-56478_right-10101	30	True	1	Cancerous_epithelium	CancerEpithelium
